iterations,passes,topic_id,top_words
100,50,1,"doctor, back, fight, #doctorsfightback, save, bengal, protest, strike, #doctorsprot, #savethedoctor, mamata, #doctorsstrike, west, medical, india, #savebengal, stand, violence, patient, bjp"
100,50,2,"trump, fuck, #fucktrump, traitor, #trumpisatraitor, resist, impeach, #resist, president, lie, donald, #resisttrump, gop, #trump, america, disgrace, day, crime, #impeachtrumpnow, idiot"
100,50,3,"dhoni, glove, #dhonikeepstheglove, india, icc, badge, desh, wear, #dhonikeeptheglove, balidaan, #dhonikesaathdesh, army, indian, cricket, #dhoni, worldcup, #indiawithdhoni, dear, stand, balidan"
100,50,4,"boris, johnson, pm, #borisjohnsonshouldnotbepm, tory, #borisjohnson, debate, leadership, brexit, minister, prime, contest, #cdebate, conservative, country, election, vote, time, uk, show"
100,50,5,"icc, shame, #shameonicc, rain, world, match, cricket, cwc, worldcup, cup, #cwc, england, pak, vs, fan, ground, #iccworldcup, india, team, dv"
100,50,6,"day, john, mccain, happy, #johnmccainday, june, birthday, father, hero, #happyjohnmccainday, wish, flag, #johnmccaindayjune, man, draft, celebrate, today, spur, #johnmccaindayjuneth, dodger"
100,50,7,"douchebag, #douchebag, pakistan, nation, terrorist, call, love, party, make, long, congress, term, man, fake, hear, scam, news, turn, modi, sorry"
100,50,8,"rapist, #rapist, rape, child, woman, victim, abortion, law, justice, alabama, man, case, year, death, fraud, religion, racist, hang, girl, support"
100,50,9,"murderer, #murderer, oj, murder, killer, twitter, simpson, follow, kill, find, real, #ojsimpson, tweet, hell, nicole, god, crime, away, ron, life"
100,50,10,"dickhead, #dickhead, tweet, big, watch, face, hope, hear, make, stupid, time, man, anti, away, imran, act, fear, serial, muslim, dear"
100,100,1,"doctor, back, fight, #doctorsfightback, save, bengal, protest, strike, #doctorsprot, #savethedoctor, mamata, #doctorsstrike, west, medical, india, #savebengal, stand, violence, patient, hospital"
100,100,2,"trump, fuck, #fucktrump, traitor, #trumpisatraitor, resist, impeach, #resist, president, lie, #resisttrump, donald, gop, #trump, america, disgrace, crime, #impeachtrumpnow, day, criminal"
100,100,3,"dhoni, glove, #dhonikeepstheglove, india, icc, badge, desh, #dhonikeeptheglove, wear, #dhonikesaathdesh, balidaan, army, indian, cricket, #dhoni, worldcup, #indiawithdhoni, dear, stand, balidan"
100,100,4,"boris, johnson, pm, #borisjohnsonshouldnotbepm, tory, #borisjohnson, debate, leadership, brexit, minister, prime, contest, #cdebate, conservative, country, vote, election, uk, leader, time"
100,100,5,"icc, shame, #shameonicc, rain, match, world, cricket, cwc, worldcup, cup, #cwc, england, pak, vs, fan, ground, team, dv, #iccworldcup, india"
100,100,6,"day, john, mccain, happy, #johnmccainday, june, birthday, father, hero, #happyjohnmccainday, wish, flag, #johnmccaindayjune, man, draft, celebrate, today, #johnmccaindayjuneth, spur, bone"
100,100,7,"douchebag, #douchebag, pakistan, nation, terrorist, fraud, call, love, party, congress, make, hear, long, fake, man, term, turn, news, scam, modi"
100,100,8,"murderer, #murderer, oj, killer, twitter, murder, follow, simpson, kill, find, real, #ojsimpson, hell, nicole, tweet, away, god, crime, ron, time"
100,100,9,"rapist, #rapist, rape, child, woman, justice, law, victim, alabama, case, abortion, man, year, death, religion, racist, hang, support, protect, congress"
100,100,10,"dickhead, #dickhead, tweet, big, watch, hope, make, stupid, time, waste, anti, imran, number, school, serial, dear, course, #cdebate, report, woman"
200,50,1,"doctor, back, fight, #doctorsfightback, save, bengal, protest, strike, #doctorsprot, #savethedoctor, mamata, #doctorsstrike, west, medical, india, #savebengal, stand, violence, patient, lose"
200,50,2,"trump, fuck, #fucktrump, traitor, #trumpisatraitor, resist, impeach, #resist, president, lie, #resisttrump, donald, gop, #trump, america, disgrace, day, idiot, crime, #impeachtrumpnow"
200,50,3,"dhoni, glove, #dhonikeepstheglove, india, icc, badge, desh, wear, #dhonikeeptheglove, balidaan, #dhonikesaathdesh, army, indian, cricket, #dhoni, #indiawithdhoni, worldcup, dear, stand, balidan"
200,50,4,"boris, johnson, pm, #borisjohnsonshouldnotbepm, tory, #borisjohnson, debate, leadership, brexit, minister, prime, contest, #cdebate, conservative, country, vote, election, uk, time, lie"
200,50,5,"icc, shame, #shameonicc, rain, world, match, cricket, worldcup, cup, cwc, #cwc, england, pak, vs, fan, ground, team, india, #iccworldcup, play"
200,50,6,"day, john, mccain, happy, #johnmccainday, june, birthday, father, hero, #happyjohnmccainday, wish, flag, #johnmccaindayjune, man, #liar, loser, draft, celebrate, today, spur"
