iterations,passes,topic_id,top_words
100,50,1,"trump, fuck, #fucktrump, traitor, #trumpisatraitor, impeach, president, lie, resist, donald, america, disgrace, gop, #trump, criminal, #impeachtrumpnow, #resist, shit, crime, resign"
100,50,2,"day, john, mccain, happy, #johnmccainday, june, birthday, father, #happyjohnmccainday, today, celebrate, call, hero, abuse, #johnmccaindayjune, man, honor, gandi, naali, country"
100,50,3,"boris, johnson, pm, #borisjohnsonshouldnotbepm, #borisjohnson, tory, debate, brexit, leadership, minister, prime, make, #cdebate, show, douchebag, #douchebag, contest, turn, #brexit, time"
100,50,4,"doctor, back, fight, #doctorsfightback, save, bengal, protest, strike, mamata, #savethedoctor, #doctorsprot, india, west, lose, #doctorsstrike, hospital, cm, stand, #savebengal, banerjee"
100,50,5,"icc, shame, #shameonicc, world, rain, match, cricket, cwc, #cwc, cup, worldcup, england, vs, ground, #icc, plan, #iccworldcup, play, pak, #worldcup"
100,50,6,"dhoni, glove, #dhonikeepstheglove, badge, icc, balidaan, india, wear, desh, army, cricket, #dhonikeeptheglove, #dhonikesaathdesh, dear, country, #indiawithdhoni, remove, pakistan, support, logo"
100,50,7,"murderer, #murderer, oj, simpson, follow, #ojsimpson, murder, away, twitter, kill, killer, nicole, find, ron, tweet, knife, year, watch, police, man"
100,50,8,"douchebag, #douchebag, love, call, hey, make, guy, abuse, leave, work, put, hypocrite, gandi, naali, vote, england, #gandinaaliabuse, pathetic, congress, party"
100,50,9,"rapist, #rapist, rape, child, victim, woman, racist, justice, case, human, pedophile, act, sexual, alabama, #rape, #racist, predator, muslim, year, twitter"
100,50,10,"dickhead, #dickhead, time, guy, continue, fuck, turn, write, make, china, beat, racist, follow, call, year, final, victim, opinion, place, alabama"
100,50,11,"abuse, gandi, naali, #gandinaaliabuse, pm, congress, modi, muslim, party, language, call, country, insult, parliament, learn, level, stay, imran, americans, anti"
