K,topic_id,words
5,0,"woman, man, make, call, girl, slutbag, find, gold, time, digger"
5,1,"woman, man, make, girl, call, bitch, love, find, time, feminism"
5,2,"woman, man, make, call, girl, bitch, cunt, find, slapper, short"
5,3,"woman, man, make, call, girl, day, wife, bitch, feminism, find"
5,4,"woman, man, make, call, girl, whore, bitch, ass, feminism, tit"
8,0,"woman, man, feminism, slag, gaming, dress, card, girl, attractive, airtel"
8,1,"woman, man, feminism, trophy, skank, fact, blm, carousel, tree, pic"
8,2,"woman, man, feminism, fuck, misandry, alpha, victim, beautiful, house, closely"
8,3,"woman, man, bitch, feminism, whore, ass, love, pregnant, play, speak"
8,4,"woman, man, feminism, deserve, friend, family, mansplaining, manspreading, futa, history"
8,5,"woman, man, feminism, digger, gold, slapper, sex, slutbag, slut, skank"
8,6,"woman, man, feminism, girl, tit, gangbange, bint, sodomize, live, blonde"
8,7,"woman, man, feminism, hate, prostitute, frigid, ipc, latex, pregnant, tip"
10,0,"woman, slapper, tit, ipc, beautiful, hijab, kiss, sculpture, pay, amazing"
10,1,"woman, man, bitch, #notallman, deserve, ugly, ass, anti, truth, pronoun"
10,2,"woman, man, attractive, slag, latex, escort, airtel, rubber, ed, fandom"
10,3,"woman, prostitute, post, dumb, blonde, memory, eye, love, husband, stunning"
10,4,"woman, man, skank, digger, gold, cock, block, time, lmao, sexual"
10,5,"woman, man, space, amount, round, smh, raven, activist, pee, peasant"
10,6,"woman, man, cunt, slutbag, misandry, spank, feminist, immigration, disgusting, ride"
10,7,"woman, man, trophy, shut, fight, #gamergate, black, show, cus, smh"
10,8,"woman, man, whore, gangbange, love, manspreading, mitch, ass, gaming, pathfinder"
10,9,"woman, man, fuck, love, trust, stay, merit, pedo, israel, stalked"
12,0,"woman, whore, deserve, feminism, mansplaining, ipc, fat, cute, girl, ugly"
12,1,"woman, tit, slutbag, street, action, yadda, rape, wet, dnf, page"
12,2,"woman, fuck, gold, slapper, digger, blame, grow, dumb, lpf, walk"
12,3,"woman, ass, sexual, fuck, cunt, latex, harassment, bint, ah, cuz"
12,4,"woman, man, beautiful, gangbange, dem, mgtow, smash, gang, controversy, #love"
12,5,"woman, manspreading, cunt, skank, cook, husband, enjoy, anal, raven, pee"
12,6,"woman, skank, sexism, fame, sorry, whitehouse, ein, strike, kill, #womensright"
12,7,"woman, wife, hate, trophy, whore, football, burden, period, doubt, #mgtow"
12,8,"woman, slag, feminazi, hard, airtel, poc, hell, ad, peasant, sound"
12,9,"woman, bitch, slut, girl, gender, card, pay, queer, problem, weak"
12,10,"woman, man, tease, cock, win, full, bedroom, pandemic, puritan, birthday"
12,11,"woman, bitch, attractive, ass, prostitute, spank, gaming, immigration, pathfinder, wilson"
15,0,"woman, hate, butt, soup, cus, card, qatar, airways, wow, #qatarairway"
15,1,"woman, whore, ipc, rape, christmas, trophy, bedroom, year, semua, semi"
15,2,"woman, man, deserve, pregnant, attractive, trophy, decision, enjoy, pop, hype"
15,3,"woman, sex, young, mansplainer, incharge, valproate, schumer, attorney, techie, pearl"
15,4,"woman, gangbange, cook, child, thrust, decide, quiet, redneck, manage, thankyou"
15,5,"woman, skank, frigid, hijab, activist, internet, gender, gerard, fandom, knuckle"
15,6,"woman, bitch, ass, ugly, member, excited, cishet, rae, seat, iranian"
15,7,"woman, wish, misogyny, lpf, full, convict, transition, gun, rimsky, bha"
15,8,"woman, understand, cock, kelly, notice, widow, raven, denim, distinguish, tattoo"
15,9,"woman, burden, militia, spiritual, yadda, quick, commit, hate, cave, shawl"
15,10,"woman, digger, gold, beautiful, repress, florida, sculpture, spin, poc, pride"
15,11,"woman, misandry, prostitute, mansplaining, latex, law, rubber, child, morally, king"
15,12,"woman, pathfinder, futa, ein, suppose, wen, saudi, daring, kobold, borough"
15,13,"woman, slapper, skirt, blonde, dumb, short, manspreading, jimin, knee, water"
15,14,"woman, tit, slutbag, fat, block, anal, apology, interest, trashy, absolute"
20,0,"cunt, bint, manspreading, woman, offense, burden, skinny, furniture, confident, tobey"
20,1,"breast, emotional, hint, philosophy, unlimited, lynch, #suck, despise, fix, podcast"
20,2,"prostitute, yadda, ter, activist, accent, hezekiah, questionable, gangbange, officer, borough"
20,3,"slutbag, fuck, dem, ah, response, shelter, wilson, forward, dosanjh, toddler"
20,4,"woman, skank, lady, oppressive, home, islam, airport, bw, sweetheart, krueger"
20,5,"ugly, sodomize, ein, physically, gerard, break, autistic, cia, goalkeeper, reporter"
20,6,"digger, gold, attractive, immigration, sicken, blog, lana, prosecute, mag, khilafah"
20,7,"bitch, deserve, anal, jesse, pharmacy, valproate, mad, life, create, happen"
20,8,"manspreading, jacket, airtel, climate, pale, dressup, #jacket, incharge, achieve, night"
20,9,"mansplaining, gay, queer, give, misandry, pathfinder, play, find, cook, gordon"
20,10,"ass, beautiful, girl, skank, feminazi, hijab, system, bedroom, sexist, short"
20,11,"woman, pound, kelly, find, babe, cus, peasant, kiddo, kitchen, abiy"
20,12,"slag, latex, misandry, deserve, rubber, guilt, year, futa, norm, eye"
20,13,"feminism, xmas, foul, goat, loujain, dress, agenda, titty, morally, protestant"
20,14,"tit, today, agency, backin, iphone, delicious, louder, crown, trailer, tory"
20,15,"cock, woman, carousel, niggas, raven, sculpture, merit, cheerleader, moron, spicy"
20,16,"slapper, ass, social, mhm, lose, brain, fukn, thirsty, beyonce, usage"
20,17,"whore, man, slut, #notallman, spin, slapper, adaptation, organization, mention, snap"
20,18,"wife, trophy, gangbange, pregnant, fandom, thankyou, information, #wife, volunteer, comin"
20,19,"short, skirt, ipc, fake, mnth, congratulate, worm, trigger, hostage, black"
