K,topic_id,words
5,0,"call, make, feminism, ass, love, bitch, girl, skank, male, hate"
5,1,"make, girl, feminism, call, whore, love, ass, digger, gold, male"
5,2,"make, girl, call, feminism, ass, love, bitch, find, male, wife"
5,3,"make, girl, feminism, love, call, beautiful, ass, bitch, male, deserve"
5,4,"make, call, girl, love, ass, feminism, bitch, black, find, sodomize"
8,0,"make, fuck, call, slag, pregnant, hate, ipc, hell, video, kill"
8,1,"make, call, fuck, beautiful, love, feminism, understand, manspreading, cum, expect"
8,2,"make, fuck, call, skank, girl, christmas, fun, ps, stand, garret"
8,3,"make, fuck, call, great, cunt, pregnant, bully, repressed, gaming, spiritual"
8,4,"make, call, fuck, ass, tit, slutbag, kill, beat, latex, exist"
8,5,"make, call, fuck, gold, digger, bitch, ass, deserve, #notallman, tease"
8,6,"make, fuck, call, wife, whore, trophy, gangbange, misandry, bint, sexual"
8,7,"make, fuck, call, prostitute, cunt, slut, spin, attractive, hijab, front"
10,0,"bitch, wife, #notallman, trophy, sodomize, mansplaining, start, marry, problematic, raven"
10,1,"respect, beef, make, fat, book, half, peasant, number, #womensday, burden"
10,2,"fuck, tit, hate, slapper, whore, attractive, bitch, skank, dem, fucking"
10,3,"whore, cock, prostitute, misogyny, sexual, school, cunt, wonder, sumn, post"
10,4,"ass, spank, pound, buy, care, awesome, frigid, problem, fat, pose"
10,5,"girl, feel, leave, pillow, cis, fandom, career, happen, relation, protester"
10,6,"feminism, latex, pregnant, hate, ipc, bully, hijab, health, tired, kill"
10,7,"deserve, slutbag, love, skank, beautiful, short, misandry, girl, night, gaming"
10,8,"feminism, cock, play, gangbange, block, ass, girl, pregnant, foul, sculpture"
10,9,"digger, gold, cunt, slag, blonde, make, hit, kind, issue, immigration"
12,0,"dumb, trophy, blonde, beautiful, wife, spank, pound, tie, immigration, pathfinder"
12,1,"bitch, stop, spin, believe, peasant, sumn, dad, ker, mental, hoseok"
12,2,"lady, start, live, sodomize, twitter, prostitute, burden, person, #bridgerton, bonnet"
12,3,"cock, carousel, kelly, sculpture, tease, lpf, care, night, skirt, common"
12,4,"bitch, fuck, hit, whore, reason, rape, future, philosophy, willie, require"
12,5,"gold, digger, tit, slutbag, year, slag, gangbange, ipc, live, stay"
12,6,"skank, year, slut, mansplaining, kill, rush, blame, airtel, month, wilson"
12,7,"deserve, manspreading, #notallman, away, sleep, repress, bedroom, cus, corvette, vary"
12,8,"back, truth, foul, blonde, choice, freedom, yadda, anal, bff, jesse"
12,9,"slapper, feminism, lie, call, repressed, gaming, mate, knee, celebrate, project"
12,10,"feminism, pregnant, whore, literally, fandom, sex, fish, immediately, advanced, mustache"
12,11,"hate, fuck, bitch, ass, cunt, latex, make, rubber, cum, diljit"
15,0,"wife, trophy, ass, attractive, support, word, ft, immigration, #horny, yadda"
15,1,"love, skank, slutbag, jacket, vs, public, queer, mitch, #ibelieveher, schoolgirl"
15,2,"cock, block, alpha, slag, tease, carousel, ravana, #love, #muscle, privacy"
15,3,"spank, mansplaining, spin, hit, gaming, slag, forget, free, night, ass"
15,4,"deserve, slapper, #notallman, horny, lady, dem, short, cus, call, misandry"
15,5,"latex, understand, love, burden, rubber, raven, oppressive, lolbertarian, enjoyable, denim"
15,6,"money, show, manspreading, pelosi, grab, investment, threaten, moxxy, huff, usage"
15,7,"bitch, hate, prostitute, skirt, pathfinder, restaurant, tiktok, pay, trick, catch"
15,8,"whore, dad, tonight, manspreade, call, cia, borough, instead, draft, anime"
15,9,"cunt, blonde, dumb, ugly, hearted, neoliberal, deny, diss, institutional, seal"
15,10,"lot, dress, sorry, spiritual, period, leader, senate, asian, rap, naseeha"
15,11,"gold, digger, beautiful, tip, repress, #bully, bedroom, baker, domestic, pray"
15,12,"gangbange, ipc, away, #patriarchy, gerard, foul, treat, abortion, sorry, slut"
15,13,"attractive, understand, white, airtel, pillow, play, ein, office, james, season"
