run_id,K,alpha,beta,gamma,coherence,diversity
1,8,0.01,0.005,0.1,0.5387531954503377,1.0
2,8,0.01,0.005,0.3,0.30936260188325587,0.5
3,8,0.01,0.01,0.1,0.5665411137590105,1.0
4,8,0.01,0.01,0.3,0.41277734415590817,0.8125
5,8,0.05,0.005,0.1,0.5199415244228556,1.0
6,8,0.05,0.005,0.3,0.39246114451240594,0.5875
7,8,0.05,0.01,0.1,0.5579408149447361,1.0
8,8,0.05,0.01,0.3,0.4368944052300592,0.8125
9,8,0.1,0.005,0.1,0.5190339590651176,1.0
10,8,0.1,0.005,0.3,0.4135949661714178,0.7125
11,8,0.1,0.01,0.1,0.5373320777793613,1.0
12,8,0.1,0.01,0.3,0.40330056207207726,0.775
13,10,0.01,0.005,0.1,0.541855084482904,1.0
14,10,0.01,0.005,0.3,0.4323071718067695,0.78
15,10,0.01,0.01,0.1,0.5501924076100402,1.0
16,10,0.01,0.01,0.3,0.45096789674627474,0.81
17,10,0.05,0.005,0.1,0.5239643564015952,0.99
18,10,0.05,0.005,0.3,0.44067520464018906,0.76
19,10,0.05,0.01,0.1,0.5330530759316219,1.0
20,10,0.05,0.01,0.3,0.46999423065671175,0.81
21,10,0.1,0.005,0.1,0.5485122542140904,1.0
22,10,0.1,0.005,0.3,0.4586326500010595,0.82
23,10,0.1,0.01,0.1,0.527676046766077,1.0
24,10,0.1,0.01,0.3,0.4333094608723149,0.77
25,12,0.01,0.005,0.1,0.5614568414257287,1.0
26,12,0.01,0.005,0.3,0.46314697338987626,0.7916666666666666
27,12,0.01,0.01,0.1,0.526932975515001,1.0
28,12,0.01,0.01,0.3,0.44664586629521047,0.7833333333333333
29,12,0.05,0.005,0.1,0.5306645560064598,1.0
30,12,0.05,0.005,0.3,0.44229609945928416,0.8166666666666667
31,12,0.05,0.01,0.1,0.5534250343283605,1.0
32,12,0.05,0.01,0.3,0.4587790450683487,0.7833333333333333
33,12,0.1,0.005,0.1,0.5255536876185548,1.0
34,12,0.1,0.005,0.3,0.4711737102166051,0.8166666666666667
35,12,0.1,0.01,0.1,0.5210610068082937,1.0
36,12,0.1,0.01,0.3,0.4431929576492959,0.775
