run_id,K,topic_id,words
1,8,0,"airtel, futa, listen, raven, naseeha, accent, replace, judean, ai, woe"
1,8,1,"yadda, desi, bh, krueger, kangana, athlete, nudity, diljit, soapy, #muscle"
1,8,2,"abusive, cat, couple, childless, sample, fort, whitley, proof, funniest, houllier"
1,8,3,"skank, latex, foul, immigration, anal, bath, bun, katja, garret, rimsky"
1,8,4,"trust, pathfinder, community, mansplainer, iphone, nan, essential, sagittarius, confident, rekt"
1,8,5,"whore, thirsty, khilafah, clip, schumer, gall, jc, revolve, slavery, scottsdale"
1,8,6,"lpf, peasant, kr, peak, emoji, recover, gain, incharge, alien, #krp"
1,8,7,"tattoo, fandom, burden, tem, pharmacy, mile, intelligent, intention, conduct, valproate"
2,8,0,"woman, man, make, call, time, skank, tit, put, reason, action"
2,8,1,"woman, man, make, cock, call, time, slapper, dick, #notallman, tit"
2,8,2,"woman, man, make, time, call, deserve, fuck, skirt, cute, find"
2,8,3,"woman, man, make, call, time, latex, rich, pillow, dick, raven"
2,8,4,"woman, man, make, time, whore, call, fuck, day, ipc, burden"
2,8,5,"woman, man, make, call, time, wife, trophy, lmao, pick, skirt"
2,8,6,"woman, man, make, call, time, digger, beautiful, gold, feminism, victim"
2,8,7,"woman, man, make, call, time, fuck, bitch, ass, slag, cus"
3,8,0,"fandom, fill, result, hype, suspend, beyonce, sumn, examiner, comedian, naseeha"
3,8,1,"deserve, married, sculpture, ein, raven, lpf, whiskey, shape, incharge, houllier"
3,8,2,"skank, latex, conversation, pathfinder, orange, lawyer, motorist, ily, lynch, order"
3,8,3,"slapper, yaoi, ps, street, hearted, colourful, polite, mile, incorporate, sabotage"
3,8,4,"sagittarius, dp, gogo, bff, juicy, libertarian, jimin, dosanjh, dempsey, moxxy"
3,8,5,"whore, cunt, foul, eu, backin, semua, thirsty, pendent, cia, merit"
3,8,6,"object, puritan, burden, futa, spiritual, bucket, grinch, compliment, mustache, organize"
3,8,7,"create, peasant, yadda, commentary, dum, tinder, scottsdale, taco, fetus, guide"
4,8,0,"woman, man, tit, spank, mansplaine, hijab, schedule, slapper, immigration, lpf"
4,8,1,"woman, man, bitch, day, year, sexual, harassment, choose, sculpture, #womensday"
4,8,2,"woman, man, whore, love, alpha, offense, nigerian, state, bint, relationship"
4,8,3,"woman, man, cock, hate, skank, #notallman, attractive, make, slapper, block"
4,8,4,"woman, man, digger, slutbag, gold, slag, short, single, biden, prostitute"
4,8,5,"woman, man, cunt, corner, repress, game, suppose, car, stroke, bedroom"
4,8,6,"woman, man, wife, latex, video, dumb, trophy, mask, lady, misandry"
4,8,7,"woman, man, beautiful, gangbange, pic, tease, slut, blame, ipc, joke"
5,8,0,"slapper, latex, rubber, ein, pal, shop, transsexual, sagittarius, bursar, athlete"
5,8,1,"leave, cute, childless, enjoyable, naseeha, gilbert, aluminum, acquit, neoliberal, #tease"
5,8,2,"hijab, disparage, futa, airtel, lpf, senate, snatch, gordon, nw, #poprock"
5,8,3,"wonder, thrust, kangana, ross, harapan, hook, dosanjh, wd, august, semua"
5,8,4,"ipc, suit, pathfinder, manage, glad, peasant, fandom, london, bha, grenell"
5,8,5,"yadda, hezekiah, reply, cuckold, soapy, cia, aurora, rod, letter, feels"
