K,topic_id,words
5,0,"trump, fuck, doctor, glove, traitor, dhoni, #fucktrump, #trumpisatraitor, icc, #shameonicc"
5,1,"trump, doctor, fuck, #fucktrump, traitor, glove, dhoni, #trumpisatraitor, back, icc"
5,2,"trump, fuck, doctor, traitor, #fucktrump, glove, #trumpisatraitor, icc, back, dhoni"
5,3,"trump, fuck, doctor, glove, dhoni, #fucktrump, traitor, icc, #trumpisatraitor, back"
5,4,"trump, fuck, doctor, #fucktrump, traitor, dhoni, glove, #trumpisatraitor, icc, back"
8,0,"trump, doctor, fuck, dhoni, traitor, icc, #fucktrump, #trumpisatraitor, back, glove"
8,1,"trump, fuck, doctor, #fucktrump, dhoni, traitor, icc, back, fight, shame"
8,2,"trump, doctor, dhoni, fuck, icc, traitor, #fucktrump, glove, back, fight"
8,3,"trump, fuck, dhoni, doctor, traitor, #fucktrump, icc, #trumpisatraitor, shame, back"
8,4,"trump, doctor, fuck, #fucktrump, dhoni, traitor, icc, back, fight, #trumpisatraitor"
8,5,"trump, doctor, fuck, traitor, dhoni, #fucktrump, back, fight, #trumpisatraitor, icc"
8,6,"trump, fuck, dhoni, doctor, #fucktrump, traitor, icc, #trumpisatraitor, back, glove"
8,7,"trump, doctor, fuck, #fucktrump, dhoni, traitor, icc, back, boris, fight"
10,0,"trump, doctor, fuck, traitor, #fucktrump, #trumpisatraitor, icc, back, day, fight"
10,1,"trump, doctor, fuck, icc, #fucktrump, traitor, shame, back, #trumpisatraitor, fight"
10,2,"trump, doctor, fuck, #fucktrump, back, traitor, icc, fight, #doctorsfightback, #trumpisatraitor"
10,3,"trump, doctor, fuck, #fucktrump, traitor, #trumpisatraitor, back, icc, fight, #doctorsfightback"
10,4,"trump, doctor, fuck, #fucktrump, traitor, icc, #trumpisatraitor, back, fight, shame"
10,5,"trump, fuck, doctor, #fucktrump, icc, traitor, #trumpisatraitor, back, boris, #dhonikeepstheglove"
10,6,"trump, doctor, fuck, #fucktrump, traitor, icc, #trumpisatraitor, day, back, boris"
10,7,"trump, doctor, fuck, #fucktrump, traitor, icc, #trumpisatraitor, back, fight, #doctorsfightback"
10,8,"trump, fuck, doctor, traitor, #fucktrump, icc, #trumpisatraitor, day, back, fight"
10,9,"trump, doctor, fuck, #fucktrump, traitor, #trumpisatraitor, icc, back, fight, #doctorsfightback"
12,0,"trump, doctor, fuck, traitor, dhoni, #fucktrump, #trumpisatraitor, icc, day, back"
12,1,"trump, dhoni, doctor, fuck, #fucktrump, traitor, icc, glove, #trumpisatraitor, day"
12,2,"trump, doctor, fuck, dhoni, #fucktrump, traitor, icc, glove, #trumpisatraitor, back"
12,3,"trump, doctor, dhoni, fuck, icc, traitor, #fucktrump, #trumpisatraitor, glove, back"
12,4,"trump, doctor, fuck, dhoni, traitor, back, #fucktrump, icc, fight, #trumpisatraitor"
12,5,"trump, doctor, fuck, #fucktrump, traitor, dhoni, icc, #trumpisatraitor, back, fight"
12,6,"trump, doctor, fuck, icc, traitor, #fucktrump, dhoni, #trumpisatraitor, back, fight"
12,7,"trump, doctor, fuck, traitor, #fucktrump, dhoni, back, icc, #trumpisatraitor, fight"
12,8,"trump, doctor, dhoni, fuck, #fucktrump, glove, icc, back, fight, traitor"
12,9,"trump, fuck, doctor, dhoni, #fucktrump, icc, traitor, back, #trumpisatraitor, day"
12,10,"trump, doctor, fuck, #fucktrump, traitor, dhoni, #trumpisatraitor, icc, back, fight"
12,11,"trump, fuck, #fucktrump, doctor, dhoni, traitor, icc, #trumpisatraitor, glove, back"
15,0,"trump, fuck, doctor, #fucktrump, traitor, #trumpisatraitor, johnson, shame, pm, dhoni"
15,1,"trump, doctor, fuck, #fucktrump, traitor, #trumpisatraitor, johnson, day, #douchebag, shame"
15,2,"trump, doctor, fuck, traitor, #fucktrump, #trumpisatraitor, shame, dhoni, johnson, pm"
15,3,"trump, doctor, fuck, #fucktrump, traitor, #trumpisatraitor, johnson, shame, dhoni, day"
15,4,"trump, doctor, fuck, traitor, #fucktrump, shame, #trumpisatraitor, dhoni, johnson, icc"
15,5,"trump, fuck, #fucktrump, doctor, traitor, #trumpisatraitor, shame, johnson, day, pm"
15,6,"trump, doctor, fuck, #fucktrump, traitor, johnson, shame, #trumpisatraitor, dhoni, pm"
15,7,"trump, doctor, traitor, fuck, #trumpisatraitor, #fucktrump, johnson, dhoni, shame, day"
15,8,"trump, doctor, fuck, #fucktrump, traitor, #trumpisatraitor, johnson, shame, day, dhoni"
15,9,"trump, doctor, fuck, #fucktrump, traitor, #trumpisatraitor, day, shame, johnson, pm"
