run_id,K,topic_id,words
1,15,0,"singh, body, #imprisontrump, divid, wenger, conference, incarceration, aircraft, rapist, #fight"
1,15,1,"pumpkin, freestyle, faryal, ariana, unt, af, comedian, barack, #fantasysport, moral"
1,15,2,"douche, tory, thoo, bullet, canoe, development, fever, huckabees, nelson, beauty"
1,15,3,"dickhead, #dickhead, huck, #sikhgenocide, namaz, simulator, neighbour, #thamendmentnow, ptsd, victim"
1,15,4,"indian, celsius, madonna, charm, laser, toot, eritrean, saudia, #nzvind, #rotinhell"
1,15,5,"#murderer, murderer, pub, putin, concept, #savethedoctor, atta, endangered, kindergartener, #halal"
1,15,6,"world, east, involve, story, nonce, vegan, hypocrisy, #shameengland, michelle, miracle"
1,15,7,"natural, #amazon, wilson, oust, #internationallevel, terri, patrick, stiffe, stan, spl"
1,15,8,"bass, pixie, software, #cocainmitch, ow, salon, isis, forward, #car, #poetry"
1,15,9,"noir, train, #johnmccaindayjune, jawan, satisfaction, balliol, conviction, indirag, graphic, cn"
1,15,10,"saaho, giveaway, flag, #bengalburning, onduty, islington, savage, withdraw, #narcissist, cot"
1,15,11,"#gopcoverup, mysore, hogan, gitmo, covfefe, auschwitz, chiman, city, rank, gidley"
1,15,12,"dodo, #cricketlive, mib, fear, official, kun, dodd, pm, #pathetic, haji"
1,15,13,"douchebag, #douchebag, important, gandu, consumer, #not, een, #apple, begger, urban"
1,15,14,"hard, lip, #womensright, #pence, engaging, tr, #tratior, #losangele, asaram, ar"
